epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,timestamp
1,2.320622,0.345301,1.646476,0.493532,1.00e-04,2025-10-29 13:12:53
2,1.546224,0.539502,1.303833,0.582147,1.00e-04,2025-10-29 13:14:59
3,1.198993,0.635271,1.153576,0.631953,1.00e-04,2025-10-29 13:17:05
4,0.961938,0.703051,1.072047,0.653946,1.00e-04,2025-10-29 13:19:16
5,0.766444,0.758814,0.984343,0.695343,1.00e-04,2025-10-29 13:21:28
6,0.623500,0.800403,0.958357,0.708279,1.00e-04,2025-10-29 13:23:41
7,0.520223,0.831127,0.942984,0.723157,1.00e-04,2025-10-29 13:25:54
8,0.423088,0.865160,0.929378,0.733506,1.00e-04,2025-10-29 13:28:07
9,0.351446,0.884516,0.884090,0.751617,1.00e-04,2025-10-29 13:30:19
10,0.301145,0.903008,0.943510,0.750970,1.00e-04,2025-10-29 13:32:31
11,0.257447,0.914016,0.949480,0.755498,1.00e-04,2025-10-29 13:34:44
12,0.231667,0.923946,0.923412,0.763260,1.00e-04,2025-10-29 13:36:57
13,0.203809,0.931933,0.946918,0.750323,1.00e-04,2025-10-29 13:39:10
14,0.188548,0.938264,1.000029,0.758732,1.00e-04,2025-10-29 13:41:23
15,0.172100,0.943733,0.964889,0.756792,1.00e-04,2025-10-29 13:43:35
16,0.151441,0.950568,0.970321,0.766494,1.00e-04,2025-10-29 13:45:48
17,0.157041,0.946323,1.010935,0.763260,1.00e-04,2025-10-29 13:48:01
18,0.129673,0.958267,0.971975,0.772316,1.00e-04,2025-10-29 13:50:13
19,0.113902,0.963016,0.961222,0.776197,1.00e-04,2025-10-29 13:52:25
20,0.114983,0.963016,1.021566,0.757439,1.00e-04,2025-10-29 13:54:39
21,0.105827,0.965463,1.069557,0.769728,1.00e-04,2025-10-29 13:56:51
22,0.105692,0.964959,1.026154,0.780078,1.00e-04,2025-10-29 13:59:04
23,0.100433,0.967118,1.065852,0.771669,1.00e-04,2025-10-29 14:01:17
24,0.100217,0.967333,1.097858,0.760673,1.00e-04,2025-10-29 14:03:31
25,0.091799,0.970427,1.070278,0.776197,1.00e-04,2025-10-29 14:05:43
26,0.095283,0.969564,1.061517,0.780724,1.00e-04,2025-10-29 14:07:55
27,0.094183,0.967909,1.088041,0.772962,1.00e-04,2025-10-29 14:10:08
28,0.088669,0.968772,1.105277,0.772316,1.00e-04,2025-10-29 14:12:21
29,0.075842,0.973665,1.093267,0.780078,1.00e-04,2025-10-29 14:14:35
30,0.082078,0.971579,1.113263,0.777490,1.00e-04,2025-10-29 14:16:48
31,0.065683,0.977910,1.073597,0.778784,5.00e-05,2025-10-29 14:19:01
