epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,timestamp
1,2.322116,0.347892,1.622239,0.489004,1.00e-04,2025-10-24 14:21:37
2,1.541055,0.540078,1.302722,0.593790,1.00e-04,2025-10-24 14:23:56
3,1.191533,0.637286,1.153762,0.630013,1.00e-04,2025-10-24 14:26:22
4,0.953310,0.703554,1.011277,0.679172,1.00e-04,2025-10-24 14:28:46
5,0.767137,0.756152,0.979051,0.700517,1.00e-04,2025-10-24 14:31:08
6,0.623735,0.796949,0.907551,0.721863,1.00e-04,2025-10-24 14:33:32
7,0.512199,0.837099,0.925052,0.730272,1.00e-04,2025-10-24 14:35:55
8,0.415637,0.863362,0.939729,0.729625,1.00e-04,2025-10-24 14:38:19
9,0.356241,0.887610,0.922723,0.752911,1.00e-04,2025-10-24 14:40:42
10,0.299414,0.901353,0.913491,0.757439,1.00e-04,2025-10-24 14:43:05
11,0.263569,0.912937,0.934209,0.759379,1.00e-04,2025-10-24 14:45:28
12,0.231249,0.922723,0.958244,0.757439,1.00e-04,2025-10-24 14:47:51
13,0.203275,0.934235,0.935587,0.771669,1.00e-04,2025-10-24 14:50:14
14,0.187038,0.939488,0.977547,0.771022,1.00e-04,2025-10-24 14:52:37
15,0.174219,0.944380,0.990685,0.771022,1.00e-04,2025-10-24 14:54:59
16,0.153546,0.948194,1.017542,0.774256,1.00e-04,2025-10-24 14:57:22
17,0.140777,0.952079,1.050192,0.770375,1.00e-04,2025-10-24 14:59:44
18,0.142921,0.951720,1.011120,0.773609,1.00e-04,2025-10-24 15:02:08
19,0.131822,0.955677,1.049399,0.766494,1.00e-04,2025-10-24 15:04:30
20,0.121827,0.957044,1.105853,0.771669,1.00e-04,2025-10-24 15:06:51
