epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,timestamp
1,2.319456,0.346093,1.676142,0.473480,1.00e-04,2025-10-29 12:28:13
2,1.559857,0.536624,1.298489,0.580207,1.00e-04,2025-10-29 12:30:21
3,1.202982,0.630522,1.160093,0.621604,1.00e-04,2025-10-29 12:32:29
4,0.964598,0.699669,1.061176,0.657180,1.00e-04,2025-10-29 12:34:43
5,0.785739,0.753562,0.980324,0.688228,1.00e-04,2025-10-29 12:36:58
6,0.639882,0.795294,0.927794,0.708926,1.00e-04,2025-10-29 12:39:11
7,0.519901,0.833285,0.919717,0.717982,1.00e-04,2025-10-29 12:41:25
8,0.417137,0.865376,0.911415,0.738034,1.00e-04,2025-10-29 12:43:39
9,0.366633,0.878903,0.901498,0.754851,1.00e-04,2025-10-29 12:45:54
10,0.301954,0.901209,0.908712,0.752911,1.00e-04,2025-10-29 12:48:08
11,0.261507,0.913657,0.908874,0.765201,1.00e-04,2025-10-29 12:50:23
12,0.230380,0.926176,0.971809,0.750323,1.00e-04,2025-10-29 12:52:36
13,0.205071,0.932940,0.909684,0.783312,1.00e-04,2025-10-29 12:54:44
14,0.184543,0.941071,0.939557,0.773609,1.00e-04,2025-10-29 12:56:52
15,0.167558,0.944237,0.959746,0.771669,1.00e-04,2025-10-29 12:59:00
16,0.158701,0.946107,0.980775,0.774256,1.00e-04,2025-10-29 13:01:08
17,0.146870,0.951504,1.025904,0.768435,1.00e-04,2025-10-29 13:03:21
18,0.110820,0.962297,0.954461,0.780078,5.00e-05,2025-10-29 13:05:35
