epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,timestamp
1,2.303823,0.347028,1.618473,0.496119,1.00e-04,2025-10-21 12:30:13
2,1.529099,0.546050,1.295660,0.600906,1.00e-04,2025-10-21 12:32:15
3,1.182029,0.644050,1.133569,0.650712,1.00e-04,2025-10-21 12:34:18
4,0.949396,0.701684,1.010372,0.690168,1.00e-04,2025-10-21 12:36:20
5,0.762347,0.758095,0.949720,0.713454,1.00e-04,2025-10-21 12:38:23
6,0.615596,0.801554,0.904313,0.730918,1.00e-04,2025-10-21 12:40:26
7,0.499365,0.837315,0.916163,0.743855,1.00e-04,2025-10-21 12:42:35
8,0.407896,0.867319,0.884994,0.754851,1.00e-04,2025-10-21 12:44:43
9,0.350488,0.884300,0.904530,0.756792,1.00e-04,2025-10-21 12:46:49
10,0.301794,0.900705,0.950031,0.756792,1.00e-04,2025-10-21 12:48:52
11,0.258723,0.916966,0.908136,0.761320,1.00e-04,2025-10-21 12:50:57
12,0.221199,0.926896,0.922721,0.769082,1.00e-04,2025-10-21 12:53:05
13,0.199612,0.931429,0.919883,0.765847,1.00e-04,2025-10-21 12:55:12
14,0.181222,0.942510,0.968743,0.772316,1.00e-04,2025-10-21 12:57:21
15,0.152726,0.949057,0.956371,0.783959,1.00e-04,2025-10-21 12:59:29
16,0.165308,0.946683,0.968304,0.782665,1.00e-04,2025-10-21 13:01:37
17,0.145644,0.953878,0.981530,0.782018,1.00e-04,2025-10-21 13:03:45
18,0.137036,0.956109,1.017138,0.774903,1.00e-04,2025-10-21 13:05:48
19,0.119835,0.958483,0.991161,0.783959,1.00e-04,2025-10-21 13:07:50
20,0.102070,0.967405,0.944340,0.789780,5.00e-05,2025-10-21 13:09:56
