epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,timestamp
1,2.331128,0.338682,1.663292,0.480595,1.00e-04,2025-10-29 11:13:47
2,1.548289,0.535761,1.309095,0.588616,1.00e-04,2025-10-29 11:15:55
3,1.197955,0.637502,1.147757,0.632600,1.00e-04,2025-10-29 11:18:02
4,0.961670,0.704274,1.014486,0.696636,1.00e-04,2025-10-29 11:20:15
5,0.767096,0.757735,0.948121,0.717335,1.00e-04,2025-10-29 11:22:31
6,0.611267,0.804504,0.940410,0.725744,1.00e-04,2025-10-29 11:24:48
7,0.513593,0.833213,0.897231,0.742561,1.00e-04,2025-10-29 11:27:04
8,0.425467,0.861059,0.875026,0.754204,1.00e-04,2025-10-29 11:29:21
9,0.361156,0.879047,0.908539,0.746442,1.00e-04,2025-10-29 11:31:38
10,0.303261,0.899266,0.882002,0.766494,1.00e-04,2025-10-29 11:33:54
11,0.264102,0.915671,0.915153,0.755498,1.00e-04,2025-10-29 11:36:09
12,0.228935,0.924809,0.935824,0.772316,1.00e-04,2025-10-29 11:38:24
13,0.216808,0.927328,0.903961,0.775550,1.00e-04,2025-10-29 11:40:39
14,0.181072,0.939272,0.950631,0.778784,1.00e-04,2025-10-29 11:42:46
15,0.180846,0.941358,0.967403,0.783312,1.00e-04,2025-10-29 11:44:53
16,0.153840,0.948985,0.977438,0.768435,1.00e-04,2025-10-29 11:47:03
17,0.132416,0.955893,0.988289,0.771022,1.00e-04,2025-10-29 11:49:10
18,0.136474,0.952871,1.030839,0.755498,1.00e-04,2025-10-29 11:51:16
19,0.137730,0.955030,1.020638,0.766494,1.00e-04,2025-10-29 11:53:25
20,0.098581,0.966038,0.947093,0.786546,5.00e-05,2025-10-29 11:55:38
21,0.089411,0.971075,0.950609,0.787840,5.00e-05,2025-10-29 11:57:46
22,0.081758,0.973162,1.004798,0.782665,5.00e-05,2025-10-29 11:59:52
23,0.072762,0.977551,0.969621,0.785252,5.00e-05,2025-10-29 12:02:00
24,0.071879,0.976831,1.000238,0.792367,5.00e-05,2025-10-29 12:04:07
25,0.065684,0.978774,0.974587,0.787193,5.00e-05,2025-10-29 12:06:14
26,0.063883,0.978270,0.950105,0.791074,5.00e-05,2025-10-29 12:08:20
27,0.066962,0.979421,0.967802,0.799483,5.00e-05,2025-10-29 12:10:28
28,0.063119,0.978414,1.018787,0.785252,5.00e-05,2025-10-29 12:12:42
29,0.060709,0.980213,0.986962,0.792367,5.00e-05,2025-10-29 12:14:56
30,0.061267,0.980861,1.031989,0.793661,5.00e-05,2025-10-29 12:17:11
